var1	var2	var3	var4	class
121	-169	132	114	0
179	-124	70	123	1
105	-143	75	135	0
96	-180	73	116	0
58	-126	71	96	0
163	-178	145	51	1
138	-91	119	72	1
102	-171	58	119	0
143	-82	72	145	1
69	-73	54	149	0
160	-44	51	96	1
142	-74	98	86	1
162	-68	101	149	1
78	-134	126	139	0
188	-60	145	71	1
166	-32	123	139	1
136	-82	53	148	1
94	-127	94	56	0
158	-134	93	109	1
62	-107	95	60	0
100	-154	57	119	0
87	-141	97	95	0
144	-58	143	94	1
116	-168	142	105	0
110	-75	79	104	1
151	-151	145	95	1
146	-84	120	141	1
140	-95	114	85	1
76	-87	139	71	0
192	-101	107	97	1
135	-63	103	112	1
186	-135	74	133	1
152	-16	134	148	1
93	-159	148	137	0
136	-121	78	54	1
135	-13	136	149	1
181	-134	107	114	1
162	-73	112	149	1
151	-118	51	75	1
87	-105	61	96	0
89	-152	111	86	0
98	-135	64	87	0
126	-61	70	65	1
144	-103	138	58	1
120	-70	94	118	1
80	-80	132	87	0
126	-196	127	145	0
102	-176	90	116	0
109	-92	128	69	0
98	-127	94	92	0
141	-84	81	94	1
82	-168	139	91	0
135	-105	81	83	1
128	-82	101	105	1
109	-212	144	71	0
125	-108	148	61	1
97	-189	130	115	0
140	-45	83	68	1
164	-148	136	64	1
108	-155	78	110	0
99	-140	126	103	0
109	-151	103	114	0
175	-95	95	56	1
150	-91	127	140	1
107	-162	61	89	0
132	-69	98	148	1
75	-137	85	55	1
185	-95	74	55	1
101	-187	58	147	0
101	-218	101	111	0
154	-95	139	89	1
101	-166	80	80	0
120	-187	133	144	0
128	-104	137	118	1
170	-134	145	60	1
71	-150	60	149	0
157	-216	129	58	0
82	-106	102	90	0
90	-154	51	110	0
97	-46	149	79	1
150	-43	103	90	1
72	-91	122	93	0
143	-107	116	76	1
155	-68	64	98	1
171	-176	89	99	1
140	-106	93	149	1
93	-45	140	113	1
145	-164	80	75	1
162	-116	148	145	1
133	-92	61	59	1
100	-188	130	80	0
101	-150	124	72	0
163	-69	77	111	1
125	-128	93	133	0
146	-60	116	58	1
140	-125	104	86	1
119	-151	127	71	0
80	-105	64	64	0
150	-120	106	66	1
120	-104	128	99	0
136	-60	110	104	1
122	-214	96	63	0
73	-139	90	81	0
106	-57	80	89	1
132	-89	87	88	1
173	-152	116	86	1
142	-155	106	77	1
139	-61	108	76	1
175	-150	51	107	1
74	-84	126	52	0
116	-123	92	131	0
175	-183	56	54	1
170	-90	138	75	1
119	-150	126	95	0
180	-127	98	84	1
134	-90	98	57	1
158	-135	88	124	1
93	-141	111	127	0
178	-166	88	127	1
128	-183	148	56	0
111	-145	125	121	0
143	-63	88	79	1
103	-131	112	99	0
112	-227	135	54	0
137	-94	118	144	1
150	-57	122	97	1
133	-40	106	85	1
145	-144	103	94	1
158	-108	148	124	1
120	-173	83	95	0
88	-100	85	137	0
85	-115	58	138	0
98	-191	123	74	0
165	-119	128	113	1
97	-98	141	146	0
102	-148	63	63	0
125	-203	88	119	0
104	-177	109	58	0
111	-184	76	116	0
109	-186	69	129	0
92	-172	141	70	0
143	-131	65	62	1
116	-83	54	132	1
128	-121	74	97	1
96	-104	119	108	0
110	-192	73	83	0
139	-147	71	126	0
153	-86	133	58	1
86	-114	144	57	0
108	-168	117	58	0
95	-76	111	69	0
153	-46	129	138	1
143	-243	111	148	0
88	-136	100	80	0
128	-97	138	80	1
131	-195	86	109	0
109	-177	122	69	0
85	-127	81	119	0
167	-126	115	99	1
89	-139	69	149	0
93	-113	56	52	0
125	-83	140	142	1
156	-123	128	75	1
114	-146	128	142	0
172	-121	59	103	1
112	-184	108	103	0
166	-134	69	129	1
132	-81	53	125	1
90	-131	109	62	0
71	-141	79	141	0
140	-108	124	72	1
139	-112	93	112	1
134	-189	143	120	0
98	-119	138	114	0
142	-102	132	93	1
176	-84	99	98	1
103	-129	73	121	0
143	-184	118	125	0
111	-125	105	121	0
136	-102	132	117	1
107	-139	91	90	0
123	-154	80	64	0
175	-173	66	70	1
80	-155	61	118	0
141	-55	125	110	1
100	-16	106	112	1
155	-133	97	107	1
175	-182	133	62	1
111	-144	82	94	0
119	-144	85	117	0
118	-90	87	147	1
153	-108	132	79	1
100	-253	117	75	0
152	-63	123	67	1
87	-233	85	58	0
123	-90	116	89	1
161	-157	87	107	1
149	-114	82	76	1
149	-50	72	59	1
187	-116	57	141	1
143	-34	53	149	1
92	-156	104	141	0
138	-171	113	141	0
172	-123	149	86	1
109	-127	62	62	0
87	-122	143	91	0
135	-24	139	63	1
136	-191	71	50	0
157	-80	52	126	1
138	-132	116	148	1
152	-130	118	141	1
141	-141	53	56	0
94	-122	124	109	0
139	-49	92	83	1
140	-106	71	68	1
119	-64	84	81	1
126	-101	81	52	1
136	-69	137	61	1
72	-120	113	133	0
153	-113	121	114	1
144	-61	135	103	1
172	-120	141	147	1
108	-147	61	73	0
110	-179	116	108	0
103	-190	63	130	0
161	-122	76	78	1
107	-74	66	74	1
155	-137	86	138	1
169	-107	64	121	1
89	-166	92	93	0
161	-101	111	113	1
139	-94	80	116	1
106	-166	145	100	0
98	-125	133	95	0
149	-121	82	63	1
105	-146	78	69	0
178	-118	103	91	1
130	-216	143	103	0
137	-70	100	100	1
177	-103	82	73	1
108	-165	139	146	0
40	-103	78	67	0
177	-154	78	91	1
94	-105	52	96	0
172	-121	131	88	1
184	-106	63	78	1
89	-132	72	92	0
100	-139	57	108	0
168	-114	141	145	1
110	-102	68	122	1
164	-159	73	53	1
140	-121	89	68	1
92	-129	115	59	0
167	-91	134	137	1
179	-129	129	134	1
130	-91	119	118	1
109	-25	52	127	1
152	-65	135	120	1
189	-99	69	90	1
107	-216	71	133	0
150	-86	84	66	1
150	-107	81	108	1
180	-162	115	92	1
99	-165	90	82	0
124	-202	104	61	0
116	-162	74	83	0
159	-103	59	116	1
137	-34	119	102	1
142	-67	120	58	1
65	-113	113	118	0
156	-211	92	110	0
100	-146	112	130	0
92	-145	148	103	0
98	-187	137	120	0
86	-108	87	117	0
100	-149	95	136	0
118	-205	77	134	0
127	-67	64	129	1
172	-160	50	142	1
132	-203	83	68	0
137	-105	121	138	1
80	-153	73	124	0
132	-201	108	82	0
159	-114	115	139	1
60	-147	96	76	0
107	-187	95	136	0
165	-81	82	89	1
165	-51	133	76	1
112	-104	132	126	1
108	-172	149	101	0
144	-151	120	72	1
150	-96	64	85	1
57	-92	101	61	0
66	-133	126	107	0
140	-116	137	67	1
156	-199	87	143	1
168	-180	88	73	1
99	-25	60	83	1
181	-85	114	108	1
168	-99	114	108	1
126	-126	128	107	1
92	-189	72	108	0
88	-131	105	72	0
85	-129	91	72	0
89	-160	52	55	0
110	-155	144	75	0
