var1	var2	var3	var4	class
176	-100	81	117	1
180	-110	115	65	1
101	-156	69	148	0
166	-82	52	134	1
143	-107	50	89	1
158	-84	112	147	1
91	-166	70	132	0
83	-109	98	87	0
165	-66	123	63	1
97	-196	58	85	0
102	-173	115	98	0
149	-112	90	116	1
151	-104	71	123	1
80	-152	56	117	0
166	-69	129	117	1
106	-174	143	53	0
131	-108	91	114	1
101	-162	87	61	0
156	-130	145	61	1
80	-120	62	93	0
81	-138	135	123	0
110	-130	147	74	0
109	-162	76	125	0
137	-139	147	96	1
74	-129	66	125	0
152	-104	102	123	1
94	-128	103	137	0
152	-68	133	79	1
143	-114	111	79	1
132	-168	143	83	0
143	-143	61	107	1
165	-145	137	98	1
132	-56	149	52	1
125	-196	141	129	0
156	-118	74	83	1
134	-64	102	72	1
89	-134	75	114	0
161	-93	118	82	1
114	-167	66	132	0
138	-172	116	145	0
145	-82	133	90	1
147	-125	105	144	1
80	-84	50	135	0
78	-184	117	99	0
154	-75	105	127	1
108	-154	119	139	0
130	-33	112	110	1
156	-139	109	80	1
105	-125	134	107	0
103	-160	89	106	0
130	-79	89	105	1
141	-113	74	96	1
151	-112	103	109	1
75	-136	131	97	0
73	-111	131	54	0
164	-79	88	69	1
105	-148	136	78	0
94	-97	67	134	0
159	-114	83	139	1
166	-107	141	95	1
129	-134	60	79	1
108	-163	134	75	0
96	-141	95	100	0
92	-168	119	117	0
141	-122	141	134	0
172	-83	142	66	1
109	-138	72	107	0
175	-111	101	147	1
143	-73	89	131	1
123	-215	117	90	0
170	-75	58	93	1
159	-75	52	68	1
119	-191	91	113	0
180	-103	60	118	1
147	-113	77	74	1
88	-183	81	141	0
142	-90	93	138	1
77	-116	76	58	0
104	-121	72	103	0
148	-179	67	50	1
93	-106	74	146	0
106	-167	97	89	0
178	-146	120	70	1
98	-155	145	149	0
165	-89	86	68	1
80	-75	128	58	0
128	-49	78	140	1
161	-118	101	104	1
134	-148	121	146	0
149	-108	134	132	1
150	-157	137	94	1
141	-78	116	95	1
148	-140	121	126	1
158	-107	118	132	1
92	-137	73	68	0
137	-121	147	88	1
94	-174	80	75	0
119	-170	103	143	0
138	-106	60	126	1
101	-153	135	66	0
118	-177	70	122	0
92	-89	93	85	0
71	-126	80	147	0
90	-118	112	125	0
121	-74	85	117	1
75	-127	135	126	0
141	-103	129	145	1
113	-70	77	65	1
74	-142	125	140	0
90	-114	58	82	0
109	-147	134	118	0
151	-108	65	58	1
127	-185	120	96	0
166	-70	86	134	1
83	-123	133	88	0
127	-52	101	53	1
150	-109	140	132	1
135	-117	77	144	1
107	-190	130	59	0
130	-130	131	111	1
167	-110	52	102	1
93	-186	56	123	0
105	-156	110	71	0
138	-77	50	84	1
122	-71	74	106	1
144	-103	146	86	1
153	-100	129	119	1
165	-97	134	82	1
163	-67	76	65	1
146	-96	139	99	1
87	-104	91	99	0
82	-149	82	126	0
141	-52	116	109	1
127	-178	108	144	0
184	-148	84	86	1
119	-185	93	146	0
96	-158	112	148	0
155	-92	64	148	1
109	-126	134	97	0
121	-144	101	69	0
115	-113	52	139	0
148	-21	141	135	1
113	-193	112	75	0
90	-142	56	103	0
105	-90	72	89	0
158	-116	66	120	1
140	-96	137	65	1
181	-86	112	142	1
149	-127	74	147	1
106	-182	147	103	0
106	-156	64	96	0
66	-162	101	131	0
131	-134	112	69	0
167	-122	145	126	1
170	-145	138	92	1
135	-78	132	94	1
97	-135	52	72	0
140	-54	113	119	1
150	-114	88	72	1
190	-132	101	80	1
142	-145	103	76	1
85	-199	102	136	0
109	-182	131	86	0
108	-161	63	122	0
99	-176	119	118	0
167	-171	108	115	1
166	-89	94	149	1
75	-122	128	107	0
123	-214	138	119	0
95	-119	101	62	0
150	-53	140	86	1
134	-105	106	75	1
105	-172	109	129	0
132	-75	64	87	1
157	-107	99	96	1
147	-103	140	130	1
107	-159	81	139	0
84	-119	77	86	0
91	-141	64	86	0
152	-120	50	100	1
134	-95	136	141	1
110	-138	107	114	0
140	-55	147	82	1
81	-159	145	124	0
68	-122	57	63	0
148	-110	52	111	1
89	-118	82	112	0
121	-209	123	75	0
82	-157	69	131	0
169	-145	70	110	1
113	-219	63	114	0
86	-158	124	108	0
127	-120	125	124	1
171	-98	132	149	1
109	-132	107	88	0
146	-122	120	98	1
129	-84	108	135	1
79	-177	83	90	0
173	-152	64	68	1
89	-130	126	149	0
110	-173	114	145	0
115	-105	73	102	0
133	-112	70	115	1
125	-117	105	58	1
145	-74	66	123	1
137	-107	107	72	1
109	-174	77	89	0
85	-163	124	129	0
150	-79	62	68	1
113	-205	108	54	0
134	-170	148	83	0
83	-130	112	133	0
179	-162	93	55	1
101	-73	131	50	1
150	-46	65	121	1
163	-119	120	141	1
150	-64	126	138	1
120	-116	65	59	0
165	-83	87	126	1
113	-134	51	69	0
134	-90	104	136	1
129	-182	107	133	0
100	-196	127	146	0
96	-155	134	142	0
114	-167	92	93	0
74	-135	66	56	0
166	-93	77	83	1
91	-111	57	89	0
100	-170	64	70	0
168	-194	74	74	1
128	-148	113	72	0
109	-251	68	75	0
133	-194	62	147	0
152	-112	130	133	1
179	-153	65	131	1
138	-226	77	77	0
177	-121	122	105	1
184	-91	59	102	1
100	-34	76	92	1
135	-141	54	148	1
128	-105	69	76	1
139	-50	54	148	1
165	-145	55	103	1
102	-162	108	86	0
100	-126	71	74	0
76	-171	61	124	0
108	-177	65	71	0
99	-158	95	100	0
165	-124	61	77	1
144	-128	128	148	1
78	-114	124	93	0
85	-128	103	117	0
118	-153	54	80	0
125	-160	133	121	0
122	-199	102	100	0
106	-14	95	139	1
113	-168	100	137	0
110	-157	51	143	0
93	-197	56	118	0
78	-105	127	139	0
81	-92	97	117	0
110	-130	94	52	0
78	-86	124	85	0
170	-125	65	136	1
143	-157	99	98	0
176	-117	92	128	1
124	-203	61	118	0
79	-192	107	92	0
130	-87	147	109	1
144	-47	102	60	1
146	-64	116	148	1
167	-129	66	88	1
153	-141	95	77	1
97	-165	120	139	1
109	-142	88	124	0
59	-123	97	146	0
148	-97	87	98	1
81	-156	102	95	0
185	-168	108	90	1
156	-86	80	132	1
111	-185	51	80	0
85	-134	61	90	0
165	-115	55	97	1
135	-186	146	52	0
157	-203	91	71	0
127	-53	60	149	1
133	-109	120	95	1
105	-156	134	85	0
172	-81	131	56	1
117	-72	138	148	0
79	-132	121	141	0
81	-116	90	68	0
155	-95	141	147	1
150	-117	138	125	1
140	-228	116	63	0
87	-121	121	99	0
115	-169	120	65	0
85	-151	70	73	0
126	-94	133	148	1
83	-88	130	83	0
108	-171	68	86	0
159	-128	101	143	1
101	-224	121	76	0
161	-138	98	133	1
111	-147	59	85	0
205	-101	73	66	1
81	-160	82	148	0
153	-103	130	82	1
93	-134	105	106	0
128	-149	118	60	0
85	-143	113	84	0
144	-82	91	128	1
135	-46	123	101	1
153	-105	69	101	1
169	-103	75	87	0
75	-127	140	94	0
170	-141	86	116	1
116	-195	74	104	0
77	-150	126	140	0
125	-92	100	121	1
95	-123	86	103	0
110	-161	144	91	0
170	-112	119	93	1
142	-126	136	126	1
109	-207	69	65	0
162	-76	107	110	1
146	-125	131	74	1
100	-242	128	52	0
153	-161	101	84	1
161	-99	60	135	1
148	-90	140	56	1
113	-126	57	60	0
88	-129	120	115	0
107	-182	72	138	0
104	-126	138	114	0
149	-94	148	123	1
89	-132	52	72	0
150	-150	64	143	1
104	-124	119	51	0
117	-192	64	56	0
99	-109	139	130	0
113	-135	117	143	0
149	-58	76	139	1
82	-128	86	117	0
130	-55	106	86	1
86	-107	85	76	0
178	-187	68	79	1
108	-136	91	121	0
115	-44	58	72	1
161	-177	64	75	1
60	-49	98	88	0
51	-99	93	127	0
147	-32	93	55	1
93	-145	60	92	0
111	-220	100	134	0
149	-61	126	126	1
116	-168	72	90	0
124	-64	139	72	1
85	-176	110	96	0
148	-99	130	114	1
60	-113	92	59	0
173	-148	91	97	1
107	-156	72	108	0
72	-160	50	141	0
86	-155	98	72	0
152	-110	60	127	1
146	-105	97	65	1
112	-200	95	136	0
150	-93	73	118	1
76	-116	99	95	0
146	-103	141	75	1
144	-88	105	89	1
100	-125	137	128	0
136	-50	58	139	1
180	-154	106	116	1
64	-147	138	75	0
156	-119	88	124	1
133	-163	86	74	0
170	-136	102	118	1
126	-66	123	130	1
108	-86	139	98	0
90	-152	59	130	0
106	-165	62	50	0
170	-78	122	108	1
123	-216	90	123	0
164	-97	100	53	1
86	-150	121	56	0
180	-123	124	59	1
144	-111	126	137	1
161	-118	102	136	1
151	-110	90	73	1
115	-159	72	68	0
98	-108	96	75	0
103	-167	95	98	0
150	-166	131	145	1
162	-120	94	79	1
162	-114	92	92	1
137	-103	88	77	1
94	-113	113	87	0
96	-151	87	103	0
130	-21	128	135	1
89	-168	136	110	0
98	-100	130	133	0
124	-146	138	96	0
148	-155	107	133	1
97	-170	79	80	0
149	-71	60	130	1
163	-139	145	53	1
116	-162	136	54	0
131	-81	105	115	1
101	-128	116	119	0
181	-129	89	55	1
90	-94	67	76	0
157	-91	95	143	1
86	-184	132	61	0
88	-107	107	115	0
135	-126	103	131	1
128	-207	92	97	0
91	-96	142	55	0
112	0	123	88	1
172	-115	147	91	1
121	-77	100	100	1
148	-156	76	79	1
124	-6	85	145	1
155	-43	94	122	1
97	-185	85	50	0
164	-169	97	110	0
153	-85	89	143	1
116	-46	100	62	1
143	-108	144	107	1
87	-106	66	104	0
88	-163	142	74	0
86	-142	134	113	0
169	-109	97	147	1
66	-144	93	77	0
93	-136	141	127	1
151	-106	147	135	1
74	-152	107	104	0
150	-96	126	83	1
126	-189	76	97	0
117	-144	92	139	0
204	-153	112	59	1
159	-80	101	85	1
112	-151	129	145	0
128	-55	79	70	1
155	-110	91	126	1
87	-159	106	141	0
166	-98	101	116	1
104	-171	103	110	0
89	-113	63	61	0
162	-125	105	132	1
109	-116	64	51	0
62	-61	107	132	0
161	-151	110	80	1
161	-96	79	79	1
72	-127	123	60	0
149	-124	128	62	1
170	-187	93	74	1
138	-104	58	58	1
107	-27	108	101	1
137	-131	119	120	0
146	-129	68	52	1
153	-113	68	122	1
174	-117	109	75	1
174	-146	51	62	1
165	-158	56	83	1
163	-98	101	94	1
76	-109	65	82	0
142	-50	100	114	1
119	-36	56	73	1
89	-97	59	79	0
94	-196	134	88	0
129	-56	139	121	1
92	-143	118	124	0
118	-164	76	72	0
137	-81	85	79	0
97	-143	90	116	0
137	-51	72	76	1
116	-198	142	124	0
160	-118	109	69	1
162	-88	60	122	1
134	-81	57	118	1
154	-106	113	65	1
117	-181	71	100	0
100	-103	140	62	0
110	-169	81	52	0
100	-149	69	90	0
170	-129	54	69	1
151	-84	66	110	1
70	-132	117	64	0
119	-103	139	111	1
165	-120	124	103	1
100	-158	114	117	0
88	-120	127	101	0
146	-100	53	144	1
104	-102	134	59	0
53	-105	101	70	0
97	-132	121	50	0
139	-86	71	53	1
156	-164	52	51	1
166	-143	50	133	1
140	-112	144	118	1
179	-141	110	103	1
146	-92	98	121	1
116	-141	128	52	0
112	-148	136	115	0
115	-104	71	107	0
141	-145	92	130	1
174	-110	71	130	1
108	-152	83	92	0
96	-144	76	57	0
108	-183	100	135	0
88	-213	57	143	0
133	-61	98	117	1
175	-169	143	95	1
167	-118	56	56	1
136	-139	118	99	0
42	-88	85	119	0
129	-106	93	122	1
63	-79	65	87	0
109	2	142	137	1
133	-103	69	128	1
121	-33	111	68	1
94	-86	109	100	0
148	-62	61	116	1
82	-112	103	118	0
112	-191	106	97	0
79	-87	101	111	0
95	-130	135	90	0
143	-105	105	74	1
100	-132	79	52	0
163	-141	79	101	1
144	-68	88	120	1
88	-170	137	134	0
101	-214	69	149	0
152	-112	73	73	1
75	-80	84	128	0
110	-146	129	68	0
169	-63	93	55	1
82	-161	127	138	0
159	-132	107	96	1
125	-156	54	143	0
127	-205	144	143	0
153	-67	93	138	1
125	-17	57	141	1
84	-140	139	50	0
166	-145	82	63	1
109	-115	58	96	0
64	-142	99	137	0
108	-128	59	67	0
159	-75	55	94	1
129	-183	102	89	0
177	-62	76	70	1
114	-180	75	125	0
155	-125	83	99	1
43	-87	127	102	0
156	-204	146	73	0
100	-155	63	126	0
141	-134	125	124	1
145	-157	72	65	1
62	-111	83	110	0
123	-103	121	90	1
133	-57	101	118	1
95	-94	122	89	0
90	-141	114	98	0
81	-181	137	63	0
112	-16	96	87	1
157	-151	83	62	1
170	-119	83	106	1
144	-111	61	124	1
94	-129	84	83	0
134	-185	104	57	0
141	-55	126	101	1
95	-153	136	115	0
166	-176	56	101	0
88	-151	127	52	0
97	-118	105	67	0
147	-115	148	81	1
88	-153	139	64	0
78	-162	120	138	0
159	-71	123	97	1
99	-153	100	136	0
121	-193	113	73	0
105	-170	94	127	0
136	-52	96	62	1
149	-122	94	98	1
166	-71	53	140	1
177	-164	124	81	1
192	-108	70	51	1
95	-132	128	77	0
159	-85	124	122	1
158	-150	117	62	1
99	-77	81	148	1
91	-60	75	141	0
114	-146	105	52	0
170	-126	122	69	1
172	-149	122	107	1
101	-158	139	115	0
99	-104	145	69	0
116	-114	82	80	0
96	-129	117	114	0
169	-56	73	96	1
168	-109	79	118	1
174	-100	50	143	1
73	-147	100	128	0
145	-73	108	117	1
141	-66	134	118	1
41	-96	105	89	0
99	-135	121	65	0
66	-91	76	73	0
180	-83	50	114	1
94	-145	141	121	0
168	-145	129	83	1
161	-92	119	76	1
87	-57	133	112	0
126	-167	104	137	0
116	-165	123	113	0
125	-86	129	122	1
168	-89	144	72	1
110	-217	115	129	0
152	-126	66	82	1
84	-127	52	129	0
127	-174	96	68	0
178	-177	60	122	1
170	-117	104	121	1
149	-67	102	53	1
181	-78	82	134	1
138	-73	116	122	1
129	-66	109	127	1
97	-172	65	58	0
117	-43	120	52	1
79	-161	55	53	0
117	-164	109	71	0
91	-111	142	73	0
168	-81	105	136	1
146	-108	99	70	1
136	-32	85	79	1
163	-112	134	60	1
82	-97	143	88	0
94	-226	137	110	0
81	-144	52	148	0
162	-133	135	57	1
131	-159	104	62	0
110	-192	101	60	0
142	-40	95	130	1
86	-180	57	64	0
82	-178	70	107	0
124	-177	98	142	0
104	-158	120	66	0
112	-189	56	146	1
124	-55	136	138	1
114	-143	141	117	0
151	-104	120	81	1
158	-92	108	90	1
86	-135	131	68	1
114	-76	102	55	1
111	-75	54	149	1
109	-198	111	141	0
126	-197	92	127	0
85	-169	85	109	0
116	-92	117	57	1
153	-98	51	141	1
100	-193	120	136	0
130	-73	83	81	1
101	-170	80	92	0
122	-167	74	128	0
119	-136	72	66	0
151	-77	114	104	1
101	-170	71	129	0
117	-134	100	144	0
100	-173	140	78	0
110	-161	96	71	0
81	-111	96	122	0
67	-149	140	58	0
150	-54	92	126	1
174	-108	64	100	1
120	-157	64	90	0
90	-140	64	132	0
105	-98	131	82	0
137	-157	53	75	0
163	-96	142	142	1
151	-136	67	98	1
210	-183	115	132	1
90	-136	116	118	0
143	-105	104	99	1
123	-81	96	90	1
133	-69	94	78	1
146	-93	111	145	1
101	-174	66	84	0
152	-58	109	122	1
147	-163	124	144	1
136	-183	112	114	0
63	-91	145	83	0
109	-170	111	55	0
159	-135	58	144	1
104	-158	116	131	0
97	-144	121	118	0
184	-117	63	100	1
165	-109	141	55	1
157	-65	95	106	1
177	-138	126	75	1
155	-67	130	76	1
177	-123	147	60	1
97	-202	105	137	0
159	-132	114	86	1
120	-195	92	139	0
177	-118	57	88	1
164	-128	127	142	1
123	-131	143	67	0
100	-120	78	148	0
179	-182	138	72	1
181	-137	118	53	1
133	-47	90	128	1
157	-131	132	98	1
131	-81	105	118	1
181	-112	114	126	1
84	-81	134	70	0
155	-75	127	99	1
122	-174	90	80	0
179	-185	91	140	1
88	-167	56	89	0
98	-142	57	107	0
152	-89	68	88	1
90	-179	74	96	0
63	-142	67	111	0
135	-181	133	60	0
200	-100	60	57	1
93	-106	82	54	0
150	-83	137	128	1
67	-126	122	73	0
119	-132	137	103	0
116	-174	133	141	0
65	-105	148	63	0
96	-165	96	136	0
143	-93	94	134	1
109	-53	145	140	1
98	-107	135	63	0
148	-45	141	53	1
118	-174	98	122	0
78	-128	130	93	0
147	-97	121	52	1
100	-167	54	130	0
73	-157	81	74	0
166	-115	135	63	1
110	-211	97	96	0
141	-179	142	97	0
153	-206	116	60	0
156	-111	145	143	1
172	-106	82	102	1
143	-87	56	73	1
98	-99	102	114	0
96	-181	53	76	0
99	-143	58	86	0
99	-146	63	138	0
132	-212	109	66	0
100	-149	81	127	0
88	-123	60	93	0
100	-178	93	51	0
145	-133	75	136	1
116	-109	107	100	0
135	-85	59	136	1
83	-185	127	132	0
83	-129	91	78	0
152	-128	129	105	1
109	-139	123	113	0
143	-103	50	55	1
120	-180	65	118	0
173	-147	80	115	1
148	-76	98	83	1
191	-148	143	111	1
94	-177	85	105	0
97	-139	105	86	0
95	-133	72	112	0
118	-159	91	72	0
102	-145	138	93	1
125	-92	117	146	1
129	-75	118	108	1
59	-144	141	90	0
156	-96	56	124	1
130	-63	51	118	1
150	-82	106	89	1
106	-139	139	82	0
71	-71	134	100	0
171	-141	81	130	1
158	-64	61	81	1
135	-93	52	144	1
158	-108	76	58	1
119	-72	71	73	1
177	-104	67	117	1
147	-93	94	115	1
92	-158	56	149	0
142	-99	92	114	1
113	-158	51	119	0
89	-137	97	60	1
128	-213	120	113	0
150	-128	88	129	1
161	-94	72	148	1
112	-159	148	98	0
166	-73	105	60	1
113	-168	132	104	0
80	-68	135	88	0
169	-132	114	149	1
67	-125	108	132	0
136	-255	130	119	1
75	-140	85	55	0
130	-222	121	119	0
131	-122	64	104	1
131	-202	87	105	0
76	-95	103	115	0
147	-71	124	76	1
112	-219	63	149	0
115	-135	129	77	0
153	-120	106	95	1
172	-143	137	131	1
132	-32	70	92	1
125	-129	70	130	0
133	-188	78	71	0
169	-160	144	107	1
117	-67	142	96	1
115	-32	71	118	1
73	-120	87	102	0
88	-161	128	57	0
170	-109	106	81	1
66	-102	101	65	0
157	-131	106	53	1
86	-122	81	120	0
162	-132	79	77	1
115	-174	77	70	0
170	-99	105	68	1
127	-43	103	127	1
205	-161	133	56	1
109	-184	50	137	0
152	-126	134	108	1
68	-115	128	53	0
134	-94	133	74	1
164	-135	118	76	1
139	-87	135	79	1
104	-78	63	148	1
159	-143	117	105	1
141	-133	119	130	1
126	-96	63	59	1
172	-143	143	119	1
106	-157	95	143	0
150	-92	77	105	1
125	-175	131	83	0
129	-105	128	91	1
124	-143	137	96	0
121	-160	50	119	0
120	-46	136	119	1
100	-171	85	76	0
105	-129	126	65	0
126	-47	96	117	1
69	-137	86	83	0
150	-93	102	120	1
101	-162	97	125	0
87	-78	103	75	0
110	-166	113	89	0
137	-111	136	77	1
110	-94	62	135	1
89	-149	110	67	0
170	-112	101	131	1
177	-102	94	143	1
201	-122	137	57	1
183	-82	117	65	1
121	-110	82	92	1
137	-77	84	54	1
155	-145	50	83	1
139	-56	144	68	1
123	-211	140	112	0
123	-26	137	85	1
186	-114	113	119	1
95	-120	56	61	0
139	-204	87	146	0
81	-113	116	81	0
160	-157	109	53	1
93	-146	69	105	0
85	-172	115	139	0
158	-115	66	98	1
105	-226	71	115	0
39	-93	75	96	0
146	-159	57	111	1
163	-75	58	66	1
97	-131	104	50	0
119	-44	97	107	1
111	-165	53	120	0
149	-145	146	83	1
108	-163	75	106	0
157	-85	92	123	1
150	-104	53	114	1
142	-142	130	127	1
150	-67	147	79	1
132	-182	143	125	0
155	-138	102	116	1
87	-96	103	111	0
113	-211	107	131	0
66	-185	71	125	0
170	-98	104	110	1
111	-141	135	93	0
81	-205	83	96	0
95	-138	134	84	0
149	-64	140	65	1
141	-73	68	90	1
102	-132	81	134	0
101	-120	60	112	0
77	-93	107	132	0
74	-127	146	63	0
145	-68	109	108	1
145	-134	92	114	1
100	-117	149	87	0
153	-147	83	50	1
134	-142	114	65	0
147	-88	125	107	1
150	-127	60	125	1
131	-147	146	117	0
144	-120	96	108	1
119	-111	98	68	1
130	-132	70	65	0
154	-97	59	77	1
126	-43	95	103	1
133	-72	55	104	1
115	-144	81	106	0
89	-71	67	56	0
148	-69	73	66	1
160	-81	61	101	1
156	-87	131	72	1
95	-173	114	130	0
151	-142	64	96	0
138	-42	149	66	1
131	-46	112	120	1
100	-141	51	137	0
167	-96	56	82	1
73	-48	139	109	0
100	-158	139	77	0
154	-87	148	131	1
141	-91	111	82	1
171	-140	52	83	1
146	-92	61	103	1
79	-130	110	103	0
69	-113	133	102	0
129	-74	127	93	1
141	-84	63	51	1
160	-101	112	81	1
133	-82	103	94	1
132	-90	130	103	1
104	-160	107	122	0
122	-165	145	88	0
139	-102	131	122	1
90	-90	97	57	0
163	-147	57	53	1
151	-122	140	63	1
83	-148	122	65	0
129	-93	70	130	1
175	-118	147	63	1
129	-176	83	86	0
113	-149	84	75	0
105	-187	60	80	0
114	-152	109	86	0
163	-60	76	137	1
165	-158	62	84	1
192	-174	141	124	1
144	-70	80	56	1
165	-75	64	94	1
181	-139	89	74	1
89	-94	142	88	0
66	-167	101	133	0
126	-180	115	51	0
106	-146	73	58	0
153	-99	83	70	1
104	-114	66	108	0
106	-93	97	77	0
86	-131	79	146	0
86	-138	147	87	0
140	-102	136	95	1
144	-196	119	69	0
134	-87	80	148	1
135	-184	103	63	1
148	-101	109	113	1
132	-84	85	99	0
148	-116	51	93	1
73	-76	149	85	0
174	-140	68	52	1
149	-85	73	53	1
64	-97	128	106	0
177	-143	92	96	1
100	-166	106	134	0
134	-166	68	130	1
78	-91	74	115	0
159	-46	92	61	1
156	-59	105	118	1
185	-163	94	145	1
137	-105	117	116	1
116	-160	149	69	0
150	-93	96	93	1
85	-100	102	88	0
155	-106	103	60	1
118	-132	51	107	0
80	-129	56	116	0
172	-120	55	83	1
90	-92	103	148	0
145	-107	67	113	1
105	-153	63	86	0
188	-139	70	83	1
147	-232	126	121	0
111	-160	149	137	0
106	-208	57	59	0
171	-109	94	142	1
94	-134	96	71	0
185	-148	135	53	1
138	-198	125	97	0
123	-75	52	133	1
168	-189	87	72	1
111	-26	78	92	1
74	-110	129	137	0
135	-66	101	68	1
129	-63	131	76	1
141	-107	84	142	1
126	-150	109	114	0
149	-59	53	79	1
171	-94	122	113	1
145	-83	102	74	1
118	-158	74	64	0
118	-55	106	140	1
118	-121	100	92	0
168	-153	147	87	1
142	-93	106	129	1
171	-80	55	83	1
177	-112	91	134	1
117	-152	84	88	0
173	-121	80	64	1
125	-64	50	53	1
114	-139	79	71	0
151	-109	129	115	1
174	-119	52	50	1
128	-64	77	86	1
123	-84	67	97	1
100	-141	77	61	0
133	-203	145	73	0
137	-108	123	79	1
107	-164	106	61	0
91	-144	78	121	0
110	-113	120	70	0
132	-31	91	126	1
124	-151	76	131	0
148	-76	144	61	1
116	-168	143	72	0
164	-133	64	84	1
169	-86	91	79	1
148	-81	132	64	1
125	-207	84	85	0
84	-106	65	67	0
133	-55	53	117	1
69	-131	115	74	0
116	-161	105	117	0
80	-89	59	66	0
71	-165	138	74	0
182	-100	69	74	1
116	-175	129	144	0
155	-117	56	111	1
121	-158	110	111	0
163	-86	146	122	1
123	-64	55	107	1
179	-62	94	72	1
64	-128	100	50	0
127	-115	143	146	1
159	-90	112	133	1
74	-83	86	95	0
98	-130	146	144	0
91	-154	141	71	0
137	-104	82	112	1
127	-67	100	129	1
85	-104	139	129	0
132	-96	92	83	1
160	-150	101	100	1
148	-86	82	139	1
167	-101	107	98	1
110	-180	100	56	0
153	-115	55	96	1
151	-87	129	133	1
118	-46	101	72	1
175	-142	91	73	1
91	-83	141	98	0
94	-142	51	119	0
102	-152	96	104	0
100	-170	50	103	0
177	-145	67	72	1
104	-170	126	106	0
146	-119	83	100	1
108	-118	96	115	0
167	-130	91	106	1
77	-125	56	62	0
164	-115	146	123	1
93	-137	56	145	0
132	-154	70	67	0
168	-80	143	95	1
119	-168	88	148	0
163	-84	90	96	1
134	-178	137	72	0
129	-186	81	129	0
154	-98	115	77	1
156	-103	77	84	1
138	-90	52	107	1
