age	media	food	transport	housing	pets
22	1183	1840	2928	4971	216
37	2710	2739	4365	15038	1285
51	6507	2906	1943	9819	317
36	2911	2751	3557	12677	281
33	2977	5320	6199	4550	757
41	6105	2547	2123	10905	0
34	513	3905	2041	12266	1823
49	831	1905	2936	5561	2658
25	775	2178	3122	4808	847
34	3038	6538	5732	4589	0
39	2832	3456	3852	11269	1152
29	1074	3820	2052	5103	2383
26	630	4696	2048	5160	3662
51	5849	3195	2069	9386	409
49	1114	1894	3384	4951	3060
48	5063	2857	2098	10522	275
40	872	4191	1947	12468	1249
37	758	4327	1936	12056	2706
25	3079	3344	1977	5356	0
24	1134	1971	3162	4404	1491
30	3326	2386	2112	5012	1162
25	3206	3385	1742	5679	237
22	2942	3178	1894	4561	0
48	5982	3412	2022	9628	320
22	1295	1750	2680	4729	1145
51	919	1821	3638	4286	3745
35	2559	7099	5226	4382	1373
48	5859	2797	1988	9120	221
38	3305	5612	7069	4901	1272
24	827	1621	3514	4961	0
20	2516	3062	1821	5211	754
26	724	3869	2059	5025	1641
42	2985	2411	3960	15883	0
46	4866	3186	1924	10417	0
23	1011	2416	2771	5283	209
45	1179	1765	3289	4947	3829
33	2986	2995	2133	5183	0
35	2495	6073	6005	5440	0
36	1114	4208	1919	12762	1828
53	1238	2086	3342	5800	2960
55	6181	2971	2121	10210	254
33	2761	2759	1981	4661	0
34	2609	6037	5513	5451	0
27	3188	2741	1987	5400	888
25	907	1788	3032	4539	0
40	1382	1880	3571	4813	2347
31	3289	5862	6022	5071	502
34	2796	6173	5952	4958	210
27	2752	3056	1990	4955	0
30	1528	3981	1994	4469	2341
55	1154	2100	3227	5363	2761
38	3491	2278	3403	13981	0
31	2670	2829	3757	12649	525
47	6471	3050	1940	8957	0
23	879	2080	3291	4979	0
47	1102	1920	2514	4365	3098
29	1390	3821	1898	5695	2260
33	2831	2765	4239	16228	557
31	3189	5060	5460	4579	0
31	1093	4198	2173	12000	2705
51	6230	2725	2183	10707	0
30	3029	2595	1955	4956	0
34	3139	5767	5359	4635	0
35	2824	3362	4140	13524	1100
24	781	1983	2656	6076	845
24	3098	3056	1963	5089	1054
43	1008	2041	3142	5589	2533
50	1118	1909	3633	4297	3465
26	2658	2954	2064	5149	276
26	3617	2610	2044	5313	472
27	2486	3103	2021	4890	854
36	2698	6118	6345	5294	1227
50	887	1808	2836	5459	2490
28	2628	6218	5927	4865	0
37	2927	5553	6522	5014	363
34	2815	5714	6049	4243	854
27	3340	2194	2006	4674	470
32	3264	5384	5893	3972	813
42	708	1959	3262	4552	3647
24	974	1942	2902	4855	1076
24	937	2336	2891	4909	1231
23	829	3834	2057	4909	3067
52	1051	1743	2707	4840	3313
24	1096	2221	3939	4624	1168
49	887	1679	3348	4558	3515
25	919	2103	3233	4938	792
34	3469	6199	6178	4707	816
34	2647	6406	6995	5336	1078
33	780	4121	2000	12278	2643
25	945	1936	3020	5658	1181
47	1050	1877	3759	4960	2462
27	3012	3149	2145	5612	666
32	1269	4163	1970	11266	3500
20	909	2231	2809	4275	497
31	655	4430	1970	13505	2187
39	2608	3407	3682	12645	633
37	1195	4025	2026	11921	2484
50	804	1867	2753	4590	2535
36	2434	6933	5140	4694	0
25	743	2252	3618	5157	453
32	2706	6104	6242	4733	0
28	943	4319	2016	5471	1800
40	727	4220	1844	12743	2409
34	3214	5691	6353	5441	0
44	6158	2880	1919	9137	220
23	921	1967	2663	4567	347
44	574	1552	2815	4823	3530
40	2685	6496	6113	6402	421
34	2889	5928	5015	5268	314
25	1079	1960	3481	4944	888
27	2689	5554	5773	5246	652
40	859	3714	2003	11592	2317
27	2895	3141	1904	4152	348
31	1223	4362	2143	5434	3273
24	1092	1715	2902	4498	340
25	2488	2965	2010	5395	381
27	1074	3776	1961	5178	2610
33	650	4128	1936	4817	2330
26	1417	4015	2080	4891	2314
21	1313	2196	3997	5172	787
51	631	1885	2338	4838	3237
35	3344	3187	4239	10312	0
32	1150	3927	2139	12650	2703
43	5874	3386	2033	11500	0
36	1029	4227	1808	11321	2660
44	5657	3094	2094	9864	428
26	3365	5883	6244	4438	0
25	724	1990	2557	5321	1517
45	1145	1580	2617	5108	3206
26	733	3942	2026	5439	3623
25	2746	3123	1929	4991	1133
25	912	1981	2429	5438	1126
47	817	4097	2005	12515	2105
26	3344	3202	2016	4255	0
49	1129	2028	3415	4631	2382
51	7018	3319	1938	11816	318
34	822	4085	2068	4915	2612
31	537	4420	2088	4953	2559
45	6082	3445	1907	10100	346
35	2800	2526	3947	15110	449
35	3231	3613	4142	16057	1044
21	814	1998	2689	4671	0
30	932	3669	2068	12961	2117
24	1025	1747	2866	4938	723
24	1206	1889	2489	4532	431
33	2562	2615	3578	12739	800
34	2903	5588	5929	5097	821
25	3407	3364	1905	4952	749
34	881	4032	1820	12316	2616
27	3220	3435	1962	4925	613
39	2851	5548	5427	5021	0
43	6284	2622	2041	9438	307
49	7975	3313	1968	8176	0
44	925	4037	1988	12347	2470
48	1015	2205	2697	5666	3474
35	668	3838	2012	5138	2734
48	1155	2080	3106	5395	2491
26	3050	2786	2038	5170	927
34	3321	6373	6686	5014	0
46	1178	1994	2871	4908	3104
30	1048	3997	1930	5448	2857
24	1033	1852	3284	5622	665
34	1046	3826	2066	10429	2511
29	3129	3236	1905	5194	0
22	849	2396	3126	4929	1061
18	674	4262	1912	4447	2761
25	1303	2107	2844	4806	0
25	943	3986	2027	5133	1908
35	2635	2750	3422	14187	697
27	1186	1974	2933	4852	661
36	2890	6129	5651	4907	308
25	952	3545	2122	4565	2611
52	5298	3384	1979	10988	359
35	990	4172	1932	12548	3184
37	2667	3041	4703	15859	0
28	2828	3490	2061	5592	207
42	777	3688	2184	12090	2186
35	3432	6375	5895	5537	261
45	709	2114	3107	4412	2771
22	2941	2764	1800	5485	0
48	6525	3085	2040	9321	0
35	3274	3349	2066	4480	0
42	1474	3773	2041	12181	1623
30	923	4956	1858	5674	2085
52	804	1808	2519	5258	2846
34	3011	5366	5504	4696	814
24	1271	1991	2925	5159	660
26	888	4274	1971	12418	2632
36	2927	2800	3568	18682	0
35	3012	3227	4213	17675	1378
44	5257	3060	2195	11168	0
21	663	1941	2954	4573	908
51	1153	2123	3141	5410	1714
49	5919	3139	2210	10486	272
50	918	1379	2879	5185	2310
53	892	1896	2901	4959	3845
44	6489	2805	1833	8548	0
33	2881	5512	6076	5246	1126
23	884	2126	2708	4544	0
48	5205	3537	1923	11208	272
37	2675	3024	3957	17200	0
34	2954	6107	6514	4317	267
34	876	4505	1971	4780	3027
48	6107	3096	1992	9332	0
35	956	4074	1885	4870	3323
29	1023	4023	2099	5063	2762
27	1069	1864	2894	5161	920
33	3166	3135	3777	14507	797
24	932	1927	3100	4472	0
29	2704	2835	2251	4678	398
33	3137	5890	6383	4937	0
23	1237	4244	2041	5303	2138
35	3375	5869	5806	4842	0
33	2862	5426	6811	5722	1827
27	2973	2869	1947	5282	0
49	1248	2260	2322	4725	3274
29	2444	4999	7110	4857	0
47	6233	3113	1954	9018	0
23	803	1937	2528	4718	1408
30	1207	4252	1807	4841	2044
23	1025	1987	3071	4358	245
33	906	3971	2082	4711	2791
23	849	2089	3467	4614	369
45	4716	2614	2258	9372	0
37	2934	2443	4446	14931	358
34	2985	6709	6353	4860	831
19	1066	4231	2060	4506	2496
53	956	1932	2687	4924	2521
29	1155	4191	1977	4393	2815
27	2894	3332	2151	5449	0
31	2723	5879	6270	5232	0
32	2708	4928	5076	4343	668
46	1083	2016	2838	5232	2073
24	1232	1991	3124	5351	396
56	5580	2620	2072	10147	297
28	2792	2596	1887	5038	0
37	3555	6028	5180	4904	1988
51	904	1729	3380	4815	2465
48	5630	3048	1931	10187	242
40	1052	2010	2823	5130	3035
28	1111	2130	2935	5158	0
52	1263	1640	3064	5002	3287
48	1026	2280	2919	4706	2525
31	3248	6304	5656	5370	0
48	1224	2190	3419	5061	3411
28	1107	4025	1742	4891	3137
33	1489	4636	2035	12158	2918
40	2983	3526	3946	10716	0
25	3185	3079	2004	5286	210
48	691	1839	2625	5269	3118
47	6325	2744	2161	10646	0
30	3084	6164	6297	4872	0
29	910	3968	1989	4762	3001
49	6488	2808	2100	10947	0
26	2931	2758	1943	5132	779
48	903	1905	2477	5227	2316
30	2523	3028	2055	4876	0
26	2684	3370	1936	4788	892
35	2883	2817	4573	16780	317
33	1312	4098	1976	12042	2135
30	706	3702	1964	11049	2684
29	2889	3254	1966	5317	757
34	3345	6244	5031	5212	613
26	1420	4033	2007	5488	2369
35	2881	5741	6351	5460	959
37	1162	3847	1918	5908	3133
26	2905	3161	1907	5279	515
46	6674	3194	2018	10528	339
33	3342	5893	5882	5400	1421
24	1000	1546	2462	4959	772
37	3056	6906	5707	5496	1362
28	2166	2981	1887	5020	386
36	759	4311	1955	11499	3335
49	5836	3259	2075	11378	0
36	3087	3419	3923	13543	528
43	1318	2113	3468	5178	2272
31	792	3956	1846	4856	2409
44	1327	1837	2667	4968	2564
35	2221	3198	4523	16116	0
47	919	1751	3166	5000	2784
24	1586	1868	3551	4452	595
34	3163	5228	5975	5229	1307
26	3053	2744	2184	5282	0
28	2636	2831	2041	4641	425
33	2990	6066	5839	5434	396
38	3034	2722	4256	13422	1178
30	2472	2802	2049	5556	0
37	1014	3586	1910	5274	2938
36	3187	3050	4165	13344	352
44	756	1838	2604	4469	3282
36	3165	5979	6375	5189	0
38	3670	2818	4122	14626	1404
26	467	3860	1999	5149	2719
24	1099	1671	3683	4854	0
35	2642	3061	3979	17976	0
34	3079	5682	4797	5512	546
60	1060	1745	2868	5344	2642
25	1020	2111	3148	5046	1183
28	1026	3806	1917	4194	2803
30	3189	5835	5957	4035	648
36	3020	3000	3338	15980	910
39	3151	3258	4332	10610	0
35	3299	3262	3683	13114	0
46	6748	2287	1936	10741	0
51	1199	2119	2796	4414	2510
33	2849	3189	4047	14621	0
52	5793	3029	1913	9881	495
46	5768	3299	2001	9861	257
32	2873	6385	5730	5001	1068
45	1255	2365	3198	5360	2353
48	894	2367	3501	5326	3046
31	2539	6276	5856	5014	694
26	676	1926	3062	5324	295
35	3371	3137	4852	15230	569
33	2569	2923	3932	15552	352
44	1192	2257	2712	5823	2259
48	6666	3140	1937	8585	200
24	873	4380	2188	4941	2690
35	3308	3145	3842	14360	282
33	1040	4088	1991	12534	1659
27	2450	3000	2012	4935	0
29	3109	2952	2051	4977	538
30	2985	5710	5413	5314	0
32	3314	5666	5250	5214	1661
48	4884	2770	2027	10831	413
27	3000	2724	1802	4660	572
34	544	4318	2091	11689	1606
32	1849	4310	2060	12917	2165
52	6387	2377	1901	8054	0
27	2404	3766	1967	5763	650
26	722	2269	3151	4687	0
29	3409	3009	1910	5190	883
24	1054	2288	2757	5549	0
36	1445	3960	1780	12180	3752
33	3393	2970	3738	14841	1007
33	797	4000	2015	11817	2437
31	686	4043	2058	5312	2578
31	3075	6096	5840	4723	421
35	2736	2597	3852	15292	0
40	6336	2723	2036	11571	341
25	1118	1785	2888	5106	607
48	5275	2692	2048	9835	0
38	1605	3906	2123	11533	2680
26	1106	2003	3082	4286	0
24	1273	2091	2876	4670	519
36	3281	5612	5574	4492	908
30	2569	2841	1912	5131	275
35	1644	3313	1944	5554	1927
37	2739	3348	4033	14133	415
40	758	4226	1788	12179	2745
37	2790	3198	3611	15916	1045
35	2761	2879	3929	16965	501
24	1068	3906	2125	5529	1799
35	771	3921	2053	13849	2520
27	2894	2838	1957	5350	0
27	3225	2901	2000	4928	657
34	3550	5324	6914	4794	1124
36	2940	3526	4099	13467	670
27	3230	2876	1961	5058	0
27	3045	3374	1844	4981	955
35	2929	2977	3645	15217	0
32	733	3950	2040	5200	2757
34	2769	3157	4211	11874	488
45	684	1988	3167	4950	4118
50	1324	2174	3128	4517	2217
42	1118	4423	1973	11870	3005
34	3163	6129	5338	5090	457
48	5955	2742	1934	10228	0
29	3111	3489	1928	5129	736
28	908	4223	1908	4604	3852
21	819	2190	2999	4976	0
36	311	4017	2022	11598	2624
37	3124	5743	5709	5306	536
34	2884	2784	3502	19795	237
47	6244	3097	2050	10417	0
48	1072	2008	2916	5196	3421
55	6449	3118	2065	9850	303
48	1468	2135	2831	5450	2650
23	1125	2380	2672	4722	747
33	3308	2794	4452	16384	1476
24	1447	2216	2967	5374	0
27	3056	2355	1885	5136	751
52	6691	3301	2017	10085	0
24	1097	1981	3003	4786	462
22	3013	3130	2085	5233	962
39	1085	4075	1915	11679	2609
47	6036	3073	1890	9065	0
45	5440	2820	1991	10724	0
51	1129	2009	2365	4497	3473
26	1046	2016	2412	5273	0
30	3085	6326	6048	5738	448
28	811	4047	2097	11171	3031
38	3866	3220	4252	17279	356
53	6348	3171	1963	8550	243
35	3129	3753	3536	18618	381
33	3237	4987	5853	5200	270
35	925	3890	1884	12283	2731
29	979	3411	2038	5557	2422
37	1023	4211	2114	11444	2467
39	3294	5481	6206	4749	429
27	2958	3107	1878	5465	538
25	3438	3204	1901	4602	506
36	2478	2859	4535	15917	623
27	1240	3839	1979	4395	1716
22	2888	3063	2098	5427	745
34	2727	6100	6245	4975	630
37	795	3522	1942	11129	2833
28	2987	3022	2035	4985	582
46	1095	1709	2842	4473	3386
40	6212	3108	1943	9435	332
30	1205	4010	1880	11913	2575
23	872	2044	2753	4839	832
31	3073	5849	5485	5100	0
35	2722	2707	4130	13485	0
24	1010	1834	3306	4908	914
34	3268	7069	6202	5375	319
28	3069	3469	1902	5152	0
34	2907	5424	5830	4633	1248
34	3375	4878	4074	4792	510
52	1012	2002	3272	5082	3698
47	902	2135	2796	4360	2993
36	890	4292	2082	10370	2556
31	2918	6834	5806	4789	0
47	1256	1848	3900	5241	3005
35	3036	2971	3766	13593	0
23	971	2082	3386	4567	636
40	928	2043	3078	5302	2890
24	1001	1894	3577	4962	1237
49	6267	3085	2008	11052	0
23	1048	2016	3276	4691	596
34	2496	6541	6197	4694	0
51	5952	2789	2047	9454	273
26	803	4411	1969	4638	2083
36	3225	2845	4275	15238	250
35	2456	5597	5527	5047	0
24	1264	3457	2093	5324	2112
33	3689	3080	4420	14728	1494
24	1155	2159	3184	4708	785
32	3310	3021	4035	14999	358
50	1121	1849	3512	5341	3015
31	3115	2682	3479	15495	796
50	5583	3139	2169	9449	0
46	6188	2876	2063	12113	0
41	765	1997	2814	4691	2582
30	2640	3229	1900	4898	263
35	1035	3743	2041	5330	3229
35	3348	2927	4133	16493	0
26	990	3986	2051	5052	2726
28	3078	2987	2067	5392	449
36	342	3941	1942	12630	2447
27	1003	2183	3099	5013	384
38	3134	2975	3411	14855	989
22	860	2000	2750	4356	855
38	2835	2906	3668	13801	745
53	982	2133	2998	5383	2832
48	6662	3624	2164	11342	0
31	2669	3007	4043	16818	428
31	2984	5385	6407	4424	507
29	1295	4012	2033	11304	3178
33	2840	6034	5701	4775	559
36	2858	6635	5371	4777	1025
26	547	1560	2896	4257	0
29	3250	3404	2095	4595	327
48	6440	3445	2072	10528	0
35	2801	6192	6915	5280	0
35	1219	3728	1820	11534	1958
29	1351	3608	1946	5056	1797
31	1170	3995	1952	5442	2498
30	2894	5627	5966	5388	0
